hash,date,year_month,files,insertions,deletions,churn,entropy,num_authors,msg_len
cd14adb,2019-05-31,2019-05,1,1,1,2,0.0,1,56
2a97d4a,2019-05-31,2019-05,1,2,0,2,0.0,1,15
14e9291,2019-05-31,2019-05,0,2,0,0,0.0,1,75
f25b500,2019-05-31,2019-05,2,12,0,12,3.0021,1,62
55ad09c,2019-05-31,2019-05,3,30,38,68,7.634,1,42
8bb7185,2019-05-31,2019-05,3,19,5,24,6.1532,1,3541
1b526c8,2019-05-31,2019-05,1,2,0,2,0.0,1,70
52f9aa7,2019-05-31,2019-05,0,19,5,0,0.0,1,128
94e0572,2019-05-31,2019-05,0,2,0,0,0.0,1,91
524f9c3,2019-05-31,2019-05,0,1,1,0,0.0,1,118
91e53da,2019-05-31,2019-05,0,12,0,0,0.0,1,106
976dfed,2019-05-31,2019-05,4,96,45,141,8.4026,1,58
c7f56c5,2019-05-31,2019-05,3,11,14,25,5.157,1,48
e45370b,2019-05-31,2019-05,1,3,3,6,0.0,1,28
d981cc6,2019-05-31,2019-05,1,5,6,11,0.0,1,72
cd4023d,2019-05-31,2019-05,0,30,38,0,0.0,1,90
5e15850,2019-05-31,2019-05,0,94,46,0,0.0,1,114
6e995f2,2019-05-31,2019-05,0,5,6,0,0.0,1,121
45b2e77,2019-05-31,2019-05,1,8,3,11,0.0,1,54
a327294,2019-05-31,2019-05,2,7,1,8,3.0255,1,73
6369537,2019-05-31,2019-05,0,8,3,0,0.0,1,109
1718f19,2019-05-31,2019-05,3,21,1,22,6.1144,1,38
13b689b,2019-06-01,2019-06,0,21,1,0,0.0,1,90
b61cbf8,2019-06-01,2019-06,0,7,1,0,0.0,1,118
549fed2,2019-05-31,2019-05,6,41,6,47,10.8685,1,32
b46f594,2019-05-31,2019-05,23,89,92,181,26.0266,1,21
48d0e86,2019-06-01,2019-06,0,130,98,0,0.0,1,86
09392e0,2019-06-01,2019-06,0,9,4,0,0.0,1,43
ca278a8,2019-06-01,2019-06,2,6,4,10,3.3589,1,21
ab8d60d,2019-06-01,2019-06,0,6,4,0,0.0,1,68
4348368,2019-06-01,2019-06,56,291,246,537,41.9261,1,46
3db4697,2019-06-01,2019-06,0,291,246,0,0.0,1,101
53c893b,2019-06-01,2019-06,10,17,18,35,16.079,1,37
d4b688b,2019-06-01,2019-06,0,17,18,0,0.0,1,89
dbd4520,2019-06-07,2019-06,5,36,62,98,7.7941,1,371
46a67b6,2019-06-12,2019-06,0,36,62,0,0.0,1,107
8a7d080,2019-06-12,2019-06,2,1,6,7,1.775,1,14
29111a3,2019-06-12,2019-06,0,35,65,0,0.0,1,20
7bc965f,2019-06-12,2019-06,1,27,0,27,0.0,1,37
4b519f0,2019-06-12,2019-06,1,14,15,28,0.0,1,24
f7f1d9d,2019-06-12,2019-06,0,26,0,0,0.0,1,103
b89bf9e,2019-06-02,2019-06,1,18,0,18,0.0,1,25
571b9f5,2019-06-12,2019-06,1,42,22,64,0.0,1,32
53f5fd2,2019-06-12,2019-06,0,43,5,0,0.0,1,124
d8d74b0,2019-06-07,2019-06,1,5,1,6,0.0,1,39
6ec98f0,2019-06-12,2019-06,1,5,3,8,0.0,1,40
d5fea5f,2019-06-12,2019-06,0,7,1,0,0.0,1,132
1ff98a2,2019-02-24,2019-02,4,41,24,65,8.377,1,254
c658639,2019-06-13,2019-06,4,26,17,43,8.2709,1,39
2fa30f6,2019-06-13,2019-06,0,52,26,0,0.0,1,131
9054f6d,2019-06-19,2019-06,3,146,11,157,8.9269,1,55
54519ef,2019-06-19,2019-06,3,89,5,94,1.9475,1,48
185d7cb,2019-06-21,2019-06,0,233,14,0,0.0,1,121
146df0f,2019-06-21,2019-06,1,15,15,30,0.0,1,28
6cd92eb,2019-06-21,2019-06,0,15,15,0,0.0,1,80
e666f7a,2019-06-22,2019-06,44,133,178,307,40.0407,1,33
24498af,2019-06-22,2019-06,6,68,281,349,15.3708,1,28
7d77958,2019-06-23,2019-06,2,614,660,1271,0.2475,1,35
28b35c5,2019-06-23,2019-06,8,115,253,365,20.3924,1,18
cb6272c,2019-06-23,2019-06,22,63,81,144,27.7235,1,19
31d3c7e,2019-06-23,2019-06,0,993,1453,0,0.0,1,71
dbe51dc,2019-06-23,2019-06,1,0,1,1,0.0,1,23
1351d0a,2019-06-23,2019-06,0,1039,1449,0,0.0,1,20
871e6d6,2019-06-26,2019-06,3,16,6,22,6.1004,1,35
6ed68f0,2019-06-26,2019-06,0,16,6,0,0.0,1,83
2a21349,2019-06-26,2019-06,0,422,412,0,0.0,1,20
54cbb4e,2019-06-27,2019-06,3,5,1,6,4.4496,1,39
2675076,2019-06-27,2019-06,0,5,1,0,0.0,1,92
ac302fb,2019-07-01,2019-07,2,414,408,822,0.6034,1,35
5a04590,2019-07-01,2019-07,0,414,408,0,0.0,1,88
b9c2267,2019-07-01,2019-07,1,1,1,2,0.0,1,14
afd6250,2019-07-01,2019-07,0,6,2,0,0.0,1,20
a5ecdfa,2019-07-01,2019-07,6,57,25,82,8.1262,1,225
043443d,2019-07-01,2019-07,0,57,25,0,0.0,1,101
b05a685,2019-07-01,2019-07,0,59,28,0,0.0,1,20
3aff003,2019-06-30,2019-06,1,1,1,2,0.0,1,13
cf4923b,2019-07-01,2019-07,0,1,1,0,0.0,1,60
465da9f,2019-07-01,2019-07,0,1,1,0,0.0,1,20
df470ae,2019-07-01,2019-07,8,40,25,65,14.7546,1,31
6665c91,2019-07-01,2019-07,0,40,25,0,0.0,1,82
b08e35e,2019-07-02,2019-07,3,41,3,44,6.2539,1,34
6d0e79b,2019-07-02,2019-07,0,41,3,0,0.0,1,88
975f979,2019-07-03,2019-07,2,2,1,3,1.8366,1,29
c074759,2019-07-03,2019-07,0,2,1,0,0.0,1,90
2844fdb,2019-07-03,2019-07,0,3,1,0,0.0,1,20
626b5cc,2019-07-04,2019-07,3,5,4,9,4.0674,1,21
8a78fdb,2019-07-04,2019-07,0,1,1,0,0.0,1,20
1b4ace9,2019-07-04,2019-07,2,2,2,4,2.3219,1,21
73d997f,2019-07-07,2019-07,1,6,8,13,0.0,1,24
e4c7033,2019-07-08,2019-07,1,3,3,6,0.0,1,45
008d338,2019-07-07,2019-07,0,8,10,0,0.0,1,128
1617202,2019-07-08,2019-07,4,54,1,55,9.4791,1,36
1a6696d,2019-07-08,2019-07,0,54,1,0,0.0,1,100
ffc6884,2019-07-08,2019-07,4,5,5,10,6.6488,1,21
901661c,2019-07-08,2019-07,0,57,4,0,0.0,1,20
98a26cf,2019-07-10,2019-07,1,1,1,2,0.0,1,30
3fb368a,2019-07-10,2019-07,0,1,1,0,0.0,1,79
c478e5d,2019-07-10,2019-07,3,12,2,14,5.0284,1,26
d694eb4,2019-07-10,2019-07,0,12,2,0,0.0,1,76
ded3d64,2019-07-10,2019-07,3,12,2,14,5.0284,1,26
722d5e6,2019-07-10,2019-07,0,1,1,0,0.0,1,20
3628cbc,2019-07-21,2019-07,1,1,1,2,0.0,1,74
7d0293d,2019-07-21,2019-07,0,1,1,0,0.0,1,120
90004a8,2019-07-18,2019-07,2,15,21,36,4.2263,1,124
d0df619,2019-07-22,2019-07,0,15,21,0,0.0,1,88
c42803f,2019-07-22,2019-07,0,15,21,0,0.0,1,31
fb4aab5,2019-07-22,2019-07,0,15,21,0,0.0,1,20
a0a49e1,2019-07-24,2019-07,1,1,12,13,0.0,1,22
b7f6fae,2019-07-25,2019-07,0,1,12,0,0.0,1,74
2a8ebc4,2019-08-01,2019-08,1,3,1,4,0.0,1,34
c074422,2019-08-01,2019-08,0,3,1,0,0.0,1,94
28ffe15,2019-07-30,2019-07,1,2,2,4,0.0,1,29
ca0acba,2019-08-01,2019-08,0,2,2,0,0.0,1,84
02cfee8,2019-08-01,2019-08,0,3,1,0,0.0,1,31
0adbaf2,2019-08-01,2019-08,0,5,3,0,0.0,1,20
b3b3828,2019-08-01,2019-08,1,0,1,1,0.0,1,14
33db535,2019-08-01,2019-08,0,0,1,0,0.0,1,20
353d891,2019-08-09,2019-08,1,1,1,2,0.0,1,95
b33e899,2019-08-13,2019-08,1,1,1,2,0.0,1,174
553b26f,2019-08-15,2019-08,1,1,1,2,0.0,1,29
96726f6,2019-08-15,2019-08,0,1,1,0,0.0,1,75
db061cf,2019-08-24,2019-08,0,1,1,0,0.0,1,95
b839beb,2019-08-25,2019-08,1,1,1,2,0.0,1,29
908a364,2019-08-25,2019-08,0,1,1,0,0.0,1,77
9b94e14,2019-08-29,2019-08,1,3,1,4,0.0,1,136
2ec150a,2019-09-02,2019-09,1,4,1,5,0.0,1,92
12666af,2019-09-02,2019-09,0,4,1,0,0.0,1,65
e01b68e,2019-09-23,2019-09,9,73,73,145,14.9431,1,42
06507ed,2019-09-23,2019-09,0,73,73,0,0.0,1,75
746d918,2019-09-23,2019-09,0,73,73,0,0.0,1,31
40eadfc,2019-09-23,2019-09,0,74,74,0,0.0,1,20
6cde195,2019-09-23,2019-09,1,4,3,7,0.0,1,36
e17c342,2019-09-23,2019-09,0,4,3,0,0.0,1,90
5f5e8e5,2019-09-23,2019-09,0,4,3,0,0.0,1,31
6429bf1,2019-09-23,2019-09,0,4,3,0,0.0,1,20
2ceae5f,2019-08-30,2019-08,1,3,0,3,0.0,1,29
599f32c,2019-09-23,2019-09,0,3,0,0,0.0,1,64
4a8e75b,2019-09-23,2019-09,0,3,1,0,0.0,1,93
4ed2065,2019-09-24,2019-09,5,65,135,200,6.8675,1,25
e007949,2019-09-24,2019-09,0,65,135,0,0.0,1,77
563ef46,2019-09-24,2019-09,0,11,10,0,0.0,1,32
7fdd0df,2019-09-24,2019-09,0,11,9,0,0.0,1,31
a3f0782,2019-09-24,2019-09,0,14,10,0,0.0,1,20
941bc9f,2019-10-06,2019-10,1,2,2,4,0.0,1,42
af970bd,2019-10-05,2019-10,1,2,2,4,0.0,1,32
9bdc42d,2019-10-08,2019-10,0,2,2,0,0.0,1,93
413778a,2019-10-12,2019-10,1,51,50,101,0.0,1,128
4bceecc,2019-10-12,2019-10,0,51,50,0,0.0,1,89
0c0b31a,2019-09-24,2019-09,3,73,5,78,7.6092,1,89
200ce9b,2019-10-12,2019-10,0,73,5,0,0.0,1,149
468705d,2019-10-14,2019-10,1,1,1,2,0.0,1,21
7df10cd,2019-10-14,2019-10,0,1,1,0,0.0,1,66
829aa65,2019-10-11,2019-10,3,56,16,71,8.6361,1,358
aac0f58,2019-10-18,2019-10,3,54,38,91,6.7952,1,30
8f422d2,2019-10-18,2019-10,0,77,21,0,0.0,1,89
07caa44,2019-10-26,2019-10,7,13,13,26,12.4745,1,28
3ddf7fd,2019-10-28,2019-10,1,1,0,1,0.0,1,543
1234eb0,2019-10-28,2019-10,0,1,0,0,0.0,1,126
c367a86,2019-10-28,2019-10,1,8,2,10,0.0,1,72
42942ec,2019-10-28,2019-10,0,8,2,0,0.0,1,125
4f6b310,2019-11-02,2019-11,1,1,1,2,0.0,1,8
a250997,2019-11-02,2019-11,0,1,1,0,0.0,1,76
1feb69d,2019-11-13,2019-11,1,1,1,2,0.0,1,220
a83d6d2,2019-11-18,2019-11,0,10,4,0,0.0,1,43
240a110,2019-11-18,2019-11,2,8,4,12,3.0021,1,28
a671e47,2019-11-18,2019-11,3,64,37,101,3.0936,1,35
bfa9ace,2019-11-18,2019-11,0,72,41,0,0.0,1,78
0586188,2019-11-18,2019-11,0,1,1,0,0.0,1,96
33d9f9f,2019-10-19,2019-10,2,5,2,7,2.9557,1,30
824e548,2019-11-18,2019-11,3,29,31,60,5.1621,1,20
af5743f,2019-11-18,2019-11,0,34,33,0,0.0,1,86
26dac4f,2019-11-18,2019-11,1,1,1,2,0.0,1,30
b5d9084,2019-11-18,2019-11,0,35,34,0,0.0,1,20
2659f0a,2019-11-18,2019-11,0,13,13,0,0.0,1,81
980168d,2019-11-18,2019-11,3,102,94,196,8.3338,1,32
d49cfb3,2019-11-19,2019-11,0,102,94,0,0.0,1,86
ef434ea,2019-11-15,2019-11,12,13,13,26,16.8637,1,68
a3415fc,2019-11-15,2019-11,1,1,1,2,0.0,1,25
25a5d30,2019-11-19,2019-11,0,13,13,0,0.0,1,88
38eb5d3,2019-11-25,2019-11,1,1,6,7,0.0,1,136
ce08807,2020-02-06,2020-02,1,1,1,2,0.0,1,15
0a8be38,2020-02-06,2020-02,0,1,1,0,0.0,1,67
bb66b61,2020-02-06,2020-02,1,1,1,2,0.0,1,44
de4be03,2020-02-06,2020-02,0,1,1,0,0.0,1,96
8d5234e,2020-02-09,2020-02,2,2,2,4,2.3219,1,18
2c66746,2020-02-09,2020-02,0,2,2,0,0.0,1,20
