month,entropy,commit_count,avg_insertions,avg_deletions,month_str,is_release,repo,entropy_lag1,entropy_lag2,entropy_delta,commit_delta,churn_ratio,entropy_rolling3
2023-09,5.907519289799137,247.0,165.5587044534413,198.06477732793522,2023-09,1,numpy,6.089152893040035,6.5084797047058816,-0.18163360324089783,-68.0,0.45530256638520894,6.168383962515018
2023-10,3.9259666122735526,258.0,1522.9922480620155,1247.6472868217054,2023-10,1,numpy,5.907519289799137,6.089152893040035,-1.9815526775255847,11.0,0.5496897842127209,5.307546265037575
2023-11,6.603343500710734,394.0,109.46192893401015,48.31979695431472,2023-11,0,numpy,3.9259666122735526,5.907519289799137,2.6773768884371814,136.0,0.6937554290082466,5.478943134261141
2023-12,5.576781083901962,337.0,186.46290801186944,75.52225519287833,2023-12,0,numpy,6.603343500710734,3.9259666122735526,-1.0265624168087717,-57.0,0.7117307931878281,5.368697065628749
2024-01,5.499555902910852,264.0,167.3598484848485,64.9659090909091,2024-01,0,numpy,5.576781083901962,6.603343500710734,-0.07722518099111042,-73.0,0.7203671699189654,5.893226829174516
2024-02,6.174632238099964,304.0,197.4309210526316,145.13815789473685,2024-02,0,numpy,5.499555902910852,5.576781083901962,0.6750763351891118,40.0,0.5763244063320383,5.750323074970925
2024-03,6.862729979620485,302.0,53.24834437086093,120.67549668874172,2024-03,0,numpy,6.174632238099964,5.499555902910852,0.6880977415205214,-2.0,0.306158971916374,6.1789727068771
2024-04,5.485390932921496,203.0,53.60591133004926,52.58620689655172,2024-04,1,numpy,6.862729979620485,6.174632238099964,-1.3773390466989888,-99.0,0.5048012246554495,6.174251050213981
2024-05,4.7815822191846005,242.0,74.97107438016529,37.03719008264463,2024-05,1,numpy,5.485390932921496,6.862729979620485,-0.7038087137368958,39.0,0.6693352025322077,5.70990104390886
2024-06,6.315593849849976,319.0,63.557993730407524,32.25705329153605,2024-06,1,numpy,4.7815822191846005,5.485390932921496,1.5340116306653755,77.0,0.6633404220444428,5.527522333985357
2024-07,6.829443545404204,353.0,85.29178470254958,46.0028328611898,2024-07,1,numpy,6.315593849849976,4.7815822191846005,0.513849695554228,34.0,0.6496213347092732,5.975539871479593
2024-08,5.447699281582557,282.0,144.09574468085106,84.52482269503547,2024-08,1,numpy,6.829443545404204,6.315593849849976,-1.3817442638216466,-71.0,0.6302833832238101,6.197578892278912
2024-09,2.560830690009833,193.0,2330.3471502590673,955.1450777202073,2024-09,1,numpy,5.447699281582557,6.829443545404204,-2.8868685915727244,-89.0,0.7092840246015819,4.9459911723321985
2024-10,3.8468160052939893,203.0,293.27093596059115,140.07389162561577,2024-10,1,numpy,2.560830690009833,5.447699281582557,1.2859853152841563,10.0,0.6767611317607637,3.95178199229546
2024-11,4.041587943013998,205.0,223.05853658536586,111.56585365853658,2024-11,1,numpy,3.8468160052939893,2.560830690009833,0.194771937720009,2.0,0.6665937782422716,3.483078212772607
2024-12,5.670090783022383,203.0,93.36945812807882,56.399014778325125,2024-12,1,numpy,4.041587943013998,3.8468160052939893,1.6285028400083847,-2.0,0.6234253198655872,4.51949824377679
2018-01,6.144693093878153,297.0,37.437710437710436,32.111111111111114,2018-01,0,rails,,,,,0.5382939581642199,
2018-02,5.544148607445453,334.0,117.6556886227545,43.16167664670659,2018-02,0,rails,6.144693093878153,,-0.6005444864327005,37.0,0.7316105970576144,
2018-03,7.351242795172154,258.0,26.8062015503876,13.678294573643411,2018-03,0,rails,5.544148607445453,6.144693093878153,1.807094187726701,-76.0,0.6621349928031757,6.3466948321652525
2018-04,7.1516130713832275,397.0,53.91939546599496,17.065491183879093,2018-04,0,rails,7.351242795172154,5.544148607445453,-0.1996297237889264,139.0,0.7595897945317214,6.682334824666945
2018-05,6.9682531378225425,222.0,18.89189189189189,8.288288288288289,2018-05,0,rails,7.1516130713832275,7.351242795172154,-0.18335993356068503,-175.0,0.6950613191656771,7.1570363347926405
2018-06,7.136405578169786,214.0,16.77102803738318,6.836448598130841,2018-06,0,rails,6.9682531378225425,7.1516130713832275,0.1681524403472432,-8.0,0.7104117181013405,7.085423929125185
2018-07,6.828876282081604,281.0,31.455516014234874,19.131672597864767,2018-07,0,rails,7.136405578169786,6.9682531378225425,-0.30752929608818214,67.0,0.6218079493369872,6.977844999357977
2018-08,7.751452408078777,323.0,35.294117647058826,8.421052631578947,2018-08,0,rails,6.828876282081604,7.136405578169786,0.922576125997173,42.0,0.8073654390750158,7.238911422776721
2018-09,7.263033587323724,429.0,44.2960372960373,14.102564102564102,2018-09,0,rails,7.751452408078777,6.828876282081604,-0.4884188207550526,106.0,0.7585119546431406,7.281120759161368
2018-10,4.309467822593454,457.0,158.05251641137855,65.85995623632385,2018-10,1,rails,7.263033587323724,7.751452408078777,-2.9535657647302695,28.0,0.705867406767233,6.441317939331985
2018-11,7.494607152658748,285.0,65.0982456140351,33.35087719298246,2018-11,1,rails,4.309467822593454,7.263033587323724,3.1851393300652937,-172.0,0.6612374367314686,6.355702854191976
2018-12,5.664260398530509,302.0,170.68543046357615,71.20529801324503,2018-12,1,rails,7.494607152658748,4.309467822593454,-1.8303467541282394,17.0,0.7056303130660347,5.82277845792757
2019-01,7.311343023061027,444.0,74.25225225225225,20.626126126126128,2019-01,1,rails,5.664260398530509,7.494607152658748,1.6470826245305181,142.0,0.7826045672423806,6.823403524750094
2019-02,8.11556278302021,404.0,22.42079207920792,8.977722772277227,2019-02,1,rails,7.311343023061027,5.664260398530509,0.8042197599591825,-40.0,0.7140717382508093,7.030388734870582
2019-03,8.057295009697278,466.0,58.40128755364807,29.665236051502145,2019-03,1,rails,8.11556278302021,7.311343023061027,-0.05826777332293176,62.0,0.6631496868756785,7.828066938592838
2019-04,8.258911604996081,485.0,33.77525773195876,25.237113402061855,2019-04,0,rails,8.057295009697278,8.11556278302021,0.2016165952988036,19.0,0.5723419866434581,8.143923132571189
2019-05,7.560829198679298,251.0,21.657370517928285,12.677290836653386,2019-05,0,rails,8.258911604996081,8.057295009697278,-0.6980824063167832,-234.0,0.6307728010955763,7.959011937790884
2019-06,4.412574520987008,202.0,31.866336633663366,20.04950495049505,2019-06,0,rails,7.560829198679298,8.258911604996081,-3.1482546776922895,-49.0,0.613807571266903,6.744105108220796
2019-07,7.616091173546644,362.0,25.65745856353591,11.502762430939226,2019-07,0,rails,4.412574520987008,7.560829198679298,3.2035166525596352,160.0,0.6904549509180833,6.529831631070984
2019-08,7.324856805566887,284.0,15.778169014084508,7.302816901408451,2019-08,0,rails,7.616091173546644,4.412574520987008,-0.2912343679797571,-78.0,0.6836003050809851,6.45117416670018
2019-09,7.694394209070996,348.0,21.919540229885058,13.21264367816092,2019-09,1,rails,7.324856805566887,7.616091173546644,0.36953740350410946,64.0,0.6239162440522558,7.545114062728175
2019-10,7.1796380074861075,258.0,26.286821705426355,16.856589147286822,2019-10,1,rails,7.694394209070996,7.324856805566887,-0.5147562015848886,-90.0,0.6092893720099546,7.399629674041331
2019-11,7.063486104423553,193.0,17.512953367875646,9.989637305699482,2019-11,1,rails,7.1796380074861075,7.694394209070996,-0.11615190306255485,-65.0,0.6367746797055581,7.312506106993552
2019-12,3.591208109753677,377.0,292.790450928382,121.0132625994695,2019-12,1,rails,7.063486104423553,7.1796380074861075,-3.4722779946698754,184.0,0.7075587805423788,5.944777407221113
2020-01,7.519527570343135,272.0,27.448529411764707,9.849264705882353,2020-01,1,rails,3.591208109753677,7.063486104423553,3.9283194605894574,-105.0,0.7359290290586327,6.058073928173454
2020-02,7.288668843151398,276.0,28.731884057971016,11.391304347826088,2020-02,1,rails,7.519527570343135,3.591208109753677,-0.2308587271917366,4.0,0.7160917464152393,6.133134841082736
2020-03,2.83517444410573,214.0,178.92990654205607,79.99532710280374,2020-03,1,rails,7.288668843151398,7.519527570343135,-4.453494399045669,-62.0,0.6910485471909784,5.881123619200088
2020-04,7.06533772884437,204.0,22.59313725490196,34.51470588235294,2020-04,1,rails,2.83517444410573,7.288668843151398,4.230163284738641,-10.0,0.3956223175896389,5.729727005367167
2020-05,8.381780398607495,472.0,26.716101694915253,13.358050847457626,2020-05,1,rails,7.06533772884437,2.83517444410573,1.3164426697631244,268.0,0.6666666666500309,6.094097523852532
2020-06,7.479948884629595,265.0,32.31320754716981,17.449056603773585,2020-06,1,rails,8.381780398607495,7.06533772884437,-0.9018315139778998,-207.0,0.6493516341721334,7.64235567069382
2020-07,6.949136697979654,184.0,21.28804347826087,13.608695652173912,2020-07,1,rails,7.479948884629595,8.381780398607495,-0.5308121866499409,-81.0,0.6100295903889978,7.603621993738915
2020-08,6.5505764022617985,191.0,34.047120418848166,20.214659685863875,2020-08,1,rails,6.949136697979654,7.479948884629595,-0.39856029571785534,7.0,0.6274604399729984,6.993220661623682
2020-09,6.9799157129469425,199.0,24.92462311557789,8.231155778894472,2020-09,1,rails,6.5505764022617985,6.949136697979654,0.42933931068514397,8.0,0.7517429523871482,6.826542937729465
2020-10,8.132696756648526,415.0,33.80722891566265,20.862650602409637,2020-10,1,rails,6.9799157129469425,6.5505764022617985,1.1527810437015837,216.0,0.6183885754470808,7.221062957285755
2020-11,7.589966900858011,283.0,39.409893992932865,21.568904593639576,2020-11,1,rails,8.132696756648526,6.9799157129469425,-0.5427298557905154,-132.0,0.646288462642238,7.567526456817826
